  0.5000 -39009.4768
  0.6000 -34724.0813
  0.7000 -30312.5288
  0.8000 -26261.1048
  0.9000 -22727.3841
  1.0000 -19718.3788
  1.1000 -17182.1772
  1.2000 -15050.4648
  1.3000 -13256.4464
  1.4000 -11741.3023
  1.5000 -10455.6277
  1.6000 -9358.8619
  1.7000 -8418.0552
  1.8000 -7606.5431
  1.9000 -6902.7467
  2.0000 -6289.1619
  2.1000 -5751.5369
  2.2000 -5278.2163
  2.3000 -4859.6204
  2.4000 -4487.8354
  2.5000 -4156.2896
  2.6000 -3859.4976
  2.7000 -3592.8573
  2.8000 -3352.4891
  2.9000 -3135.1065
  3.0000 -2937.9129
  3.1000 -2758.5177
  3.2000 -2594.8692
  3.3000 -2445.1991
  3.4000 -2307.9773
  3.5000 -2181.8753
  3.6000 -2065.7353
  3.7000 -1958.5448
  3.8000 -1859.4153
  3.9000 -1767.5654
  4.0000 -1682.3048
  4.1000 -1603.0229
  4.2000 -1529.1774
  4.3000 -1460.2858
  4.4000 -1395.9177
  4.5000 -1335.6879
  4.6000 -1279.2513
  4.7000 -1226.2977
  4.8000 -1176.5478
  4.9000 -1129.7498
  5.0000 -1085.6757
  5.1000 -1044.1193
  5.2000 -1004.8932
  5.3000 -967.8272
  5.4000 -932.7662
  5.5000 -899.5687
  5.6000 -868.1056
  5.7000 -838.2586
  5.8000 -809.9192
  5.9000 -782.9879
  6.0000 -757.3734
  6.1000 -732.9914
  6.2000 -709.7644
  6.3000 -687.6208
  6.4000 -666.4944
  6.5000 -646.3241
  6.6000 -627.0531
  6.7000 -608.6291
  6.8000 -591.0031
  6.9000 -574.1298
  7.0000 -557.9672
  7.1000 -542.4760
  7.2000 -527.6195
  7.3000 -513.3637
  7.4000 -499.6766
  7.5000 -486.5285
  7.6000 -473.8915
  7.7000 -461.7396
  7.8000 -450.0481
  7.9000 -438.7943
  8.0000 -427.9566
  8.1000 -417.5148
  8.2000 -407.4498
  8.3000 -397.7438
  8.4000 -388.3799
  8.5000 -379.3422
  8.6000 -370.6159
  8.7000 -362.1867
  8.8000 -354.0415
  8.9000 -346.1675
  9.0000 -338.5529
  9.1000 -331.1865
  9.2000 -324.0575
  9.3000 -317.1559
  9.4000 -310.4722
  9.5000 -303.9973
  9.6000 -297.7225
  9.7000 -291.6398
  9.8000 -285.7414
  9.9000 -280.0199
